Date,Geography,Institution type,Registration status,ISCED,Field of study,Gender,Status of student in Canada,UOM,Scalar Factor,Value
2019/2020,Saskatchewan,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,24558
2016/2017,Alberta,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,78963
2017/2018,Alberta,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,80397
2018/2019,Alberta,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,82971
2019/2020,Alberta,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,84792
2016/2017,British Columbia,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,123054
2017/2018,British Columbia,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,126939
2018/2019,British Columbia,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,130281
2019/2020,British Columbia,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,131424
2016/2017,Territories,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,1146
2017/2018,Territories,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,1119
2018/2019,Territories,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,1365
2019/2020,Territories,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,1476
2016/2017,Canada,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,1033710
2017/2018,Canada,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,1047567
2018/2019,Canada,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,1056900
2019/2020,Canada,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,1072437
2016/2017,Newfoundland and Labrador,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,13566
2017/2018,Newfoundland and Labrador,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,13521
2018/2019,Newfoundland and Labrador,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,13458
2019/2020,Newfoundland and Labrador,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,13590
2016/2017,Prince Edward Island,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,3363
2017/2018,Prince Edward Island,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,3465
2018/2019,Prince Edward Island,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,3576
2019/2020,Prince Edward Island,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,3801
2016/2017,Nova Scotia,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,33060
2017/2018,Nova Scotia,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,32706
2018/2019,Nova Scotia,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,33801
2019/2020,Nova Scotia,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,35226
2016/2017,New Brunswick,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,15624
2017/2018,New Brunswick,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,15267
2018/2019,New Brunswick,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,15153
2019/2020,New Brunswick,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,15333
2016/2017,Quebec,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,213294
2017/2018,Quebec,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,215028
2018/2019,Quebec,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,211176
2019/2020,Quebec,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,208335
2016/2017,Ontario,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,453597
2017/2018,Ontario,"Total, institution type","Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,459138
