Date,Geography,Institution type,Registration status,ISCED,Field of study,Gender,Status of student in Canada,UOM,Scalar Factor,Value
2019/2020,Ontario,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ","Total, gender",Canadian students,Number,units,765
2016/2017,Manitoba,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ","Total, gender",Canadian students,Number,units,1347
2017/2018,Manitoba,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ","Total, gender",Canadian students,Number,units,1350
2018/2019,Manitoba,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ","Total, gender",Canadian students,Number,units,1584
2019/2020,Manitoba,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ","Total, gender",Canadian students,Number,units,1524
2016/2017,Saskatchewan,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ","Total, gender",Canadian students,Number,units,852
2017/2018,Saskatchewan,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ","Total, gender",Canadian students,Number,units,738
2018/2019,Saskatchewan,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ","Total, gender",Canadian students,Number,units,837
2019/2020,Saskatchewan,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ","Total, gender",Canadian students,Number,units,780
2016/2017,Alberta,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ","Total, gender",Canadian students,Number,units,11364
2017/2018,Alberta,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ","Total, gender",Canadian students,Number,units,11043
2018/2019,Alberta,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ","Total, gender",Canadian students,Number,units,12075
2019/2020,Alberta,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ","Total, gender",Canadian students,Number,units,11817
2016/2017,British Columbia,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ","Total, gender",Canadian students,Number,units,7059
2017/2018,British Columbia,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ","Total, gender",Canadian students,Number,units,7608
2018/2019,British Columbia,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ","Total, gender",Canadian students,Number,units,7359
2019/2020,British Columbia,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ","Total, gender",Canadian students,Number,units,7575
2016/2017,Territories,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ","Total, gender",Canadian students,Number,units,444
2017/2018,Territories,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ","Total, gender",Canadian students,Number,units,402
2018/2019,Territories,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ","Total, gender",Canadian students,Number,units,318
2019/2020,Territories,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ","Total, gender",Canadian students,Number,units,543
2016/2017,Canada,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ",Female gender,Canadian students,Number,units,14274
2017/2018,Canada,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ",Female gender,Canadian students,Number,units,14529
2018/2019,Canada,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ",Female gender,Canadian students,Number,units,15453
2019/2020,Canada,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ",Female gender,Canadian students,Number,units,16116
2019/2020,Prince Edward Island,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ",Female gender,Canadian students,Number,units,510
2016/2017,Nova Scotia,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ",Female gender,Canadian students,Number,units,861
2017/2018,Nova Scotia,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ",Female gender,Canadian students,Number,units,942
2018/2019,Nova Scotia,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ",Female gender,Canadian students,Number,units,912
2019/2020,Nova Scotia,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ",Female gender,Canadian students,Number,units,900
2016/2017,New Brunswick,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ",Female gender,Canadian students,Number,units,279
2017/2018,New Brunswick,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ",Female gender,Canadian students,Number,units,270
2018/2019,New Brunswick,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ",Female gender,Canadian students,Number,units,276
2019/2020,New Brunswick,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ",Female gender,Canadian students,Number,units,417
2016/2017,Ontario,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ",Female gender,Canadian students,Number,units,402
2017/2018,Ontario,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ",Female gender,Canadian students,Number,units,372
2018/2019,Ontario,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ",Female gender,Canadian students,Number,units,363
2019/2020,Ontario,"Total, institution type","Total, registration status",Upper secondary education,"Total, field of study ",Female gender,Canadian students,Number,units,483
